Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0106M,1984,A01,1984 Annual,41825
CXUTOTALEXPLB0106M,1985,A01,1985 Annual,45166
CXUTOTALEXPLB0106M,1986,A01,1986 Annual,46242
CXUTOTALEXPLB0106M,1987,A01,1987 Annual,46470
CXUTOTALEXPLB0106M,1988,A01,1988 Annual,48718
CXUTOTALEXPLB0106M,1989,A01,1989 Annual,53093
CXUTOTALEXPLB0106M,1990,A01,1990 Annual,55437
CXUTOTALEXPLB0106M,1991,A01,1991 Annual,57597
CXUTOTALEXPLB0106M,1992,A01,1992 Annual,57981
CXUTOTALEXPLB0106M,1993,A01,1993 Annual,59521
CXUTOTALEXPLB0106M,1994,A01,1994 Annual,60803
CXUTOTALEXPLB0106M,1995,A01,1995 Annual,62639
CXUTOTALEXPLB0106M,1996,A01,1996 Annual,66794
CXUTOTALEXPLB0106M,1997,A01,1997 Annual,66800
CXUTOTALEXPLB0106M,1998,A01,1998 Annual,70648
CXUTOTALEXPLB0106M,1999,A01,1999 Annual,75015
CXUTOTALEXPLB0106M,2000,A01,2000 Annual,75102
CXUTOTALEXPLB0106M,2001,A01,2001 Annual,77125
CXUTOTALEXPLB0106M,2002,A01,2002 Annual,79199
CXUTOTALEXPLB0106M,2003,A01,2003 Annual,81731
CXUTOTALEXPLB0106M,2004,A01,2004 Annual,83710
CXUTOTALEXPLB0106M,2005,A01,2005 Annual,90469
CXUTOTALEXPLB0106M,2006,A01,2006 Annual,94150
CXUTOTALEXPLB0106M,2007,A01,2007 Annual,96752
CXUTOTALEXPLB0106M,2008,A01,2008 Annual,97003
CXUTOTALEXPLB0106M,2009,A01,2009 Annual,94244
CXUTOTALEXPLB0106M,2010,A01,2010 Annual,92870
CXUTOTALEXPLB0106M,2011,A01,2011 Annual,94551
CXUTOTALEXPLB0106M,2012,A01,2012 Annual,99368
CXUTOTALEXPLB0106M,2013,A01,2013 Annual,99237
CXUTOTALEXPLB0106M,2014,A01,2014 Annual,104363
CXUTOTALEXPLB0106M,2015,A01,2015 Annual,110508
CXUTOTALEXPLB0106M,2016,A01,2016 Annual,112221
CXUTOTALEXPLB0106M,2017,A01,2017 Annual,116988
CXUTOTALEXPLB0106M,2018,A01,2018 Annual,118781
CXUTOTALEXPLB0106M,2019,A01,2019 Annual,121571
CXUTOTALEXPLB0106M,2020,A01,2020 Annual,114840
