Series ID,Year,Period,Label,Value
CXU900000LB0102M,1984,A01,1984 Annual,1329
CXU900000LB0102M,1985,A01,1985 Annual,1451
CXU900000LB0102M,1986,A01,1986 Annual,1324
CXU900000LB0102M,1987,A01,1987 Annual,1304
CXU900000LB0102M,1988,A01,1988 Annual,1520
CXU900000LB0102M,1989,A01,1989 Annual,1833
CXU900000LB0102M,1990,A01,1990 Annual,1754
CXU900000LB0102M,1991,A01,1991 Annual,1764
CXU900000LB0102M,1992,A01,1992 Annual,1701
CXU900000LB0102M,1993,A01,1993 Annual,1823
CXU900000LB0102M,1994,A01,1994 Annual,2023
CXU900000LB0102M,1995,A01,1995 Annual,1864
CXU900000LB0102M,1996,A01,1996 Annual,1989
CXU900000LB0102M,1997,A01,1997 Annual,2318
CXU900000LB0102M,1998,A01,1998 Annual,2478
CXU900000LB0102M,1999,A01,1999 Annual,2431
CXU900000LB0102M,2000,A01,2000 Annual,2524
CXU900000LB0102M,2001,A01,2001 Annual,2885
CXU900000LB0102M,2002,A01,2002 Annual,2949
CXU900000LB0102M,2003,A01,2003 Annual,2997
CXU900000LB0102M,2004,A01,2004 Annual,3459
CXU900000LB0102M,2005,A01,2005 Annual,3699
CXU900000LB0102M,2006,A01,2006 Annual,4067
CXU900000LB0102M,2007,A01,2007 Annual,4538
CXU900000LB0102M,2008,A01,2008 Annual,4351
CXU900000LB0102M,2009,A01,2009 Annual,4207
CXU900000LB0102M,2010,A01,2010 Annual,3856
CXU900000LB0102M,2011,A01,2011 Annual,3525
CXU900000LB0102M,2012,A01,2012 Annual,3858
CXU900000LB0102M,2013,A01,2013 Annual,3225
CXU900000LB0102M,2014,A01,2014 Annual,3340
CXU900000LB0102M,2015,A01,2015 Annual,3385
CXU900000LB0102M,2016,A01,2016 Annual,3472
CXU900000LB0102M,2017,A01,2017 Annual,3491
CXU900000LB0102M,2018,A01,2018 Annual,3436
CXU900000LB0102M,2019,A01,2019 Annual,3423
CXU900000LB0102M,2020,A01,2020 Annual,4001
