Series ID,Year,Period,Label,Value
CXU900000LB0105M,1984,A01,1984 Annual,24275
CXU900000LB0105M,1985,A01,1985 Annual,25905
CXU900000LB0105M,1986,A01,1986 Annual,26410
CXU900000LB0105M,1987,A01,1987 Annual,27480
CXU900000LB0105M,1988,A01,1988 Annual,29013
CXU900000LB0105M,1989,A01,1989 Annual,31323
CXU900000LB0105M,1990,A01,1990 Annual,32262
CXU900000LB0105M,1991,A01,1991 Annual,34000
CXU900000LB0105M,1992,A01,1992 Annual,32734
CXU900000LB0105M,1993,A01,1993 Annual,34615
CXU900000LB0105M,1994,A01,1994 Annual,35282
CXU900000LB0105M,1995,A01,1995 Annual,37267
CXU900000LB0105M,1996,A01,1996 Annual,38665
CXU900000LB0105M,1997,A01,1997 Annual,40592
CXU900000LB0105M,1998,A01,1998 Annual,42376
CXU900000LB0105M,1999,A01,1999 Annual,44725
CXU900000LB0105M,2000,A01,2000 Annual,45767
CXU900000LB0105M,2001,A01,2001 Annual,48742
CXU900000LB0105M,2002,A01,2002 Annual,50557
CXU900000LB0105M,2003,A01,2003 Annual,52022
CXU900000LB0105M,2004,A01,2004 Annual,55014
CXU900000LB0105M,2005,A01,2005 Annual,57077
CXU900000LB0105M,2006,A01,2006 Annual,60343
CXU900000LB0105M,2007,A01,2007 Annual,61019
CXU900000LB0105M,2008,A01,2008 Annual,62311
CXU900000LB0105M,2009,A01,2009 Annual,61519
CXU900000LB0105M,2010,A01,2010 Annual,59928
CXU900000LB0105M,2011,A01,2011 Annual,61027
CXU900000LB0105M,2012,A01,2012 Annual,62255
CXU900000LB0105M,2013,A01,2013 Annual,61747
CXU900000LB0105M,2014,A01,2014 Annual,62920
CXU900000LB0105M,2015,A01,2015 Annual,67228
CXU900000LB0105M,2016,A01,2016 Annual,70938
CXU900000LB0105M,2017,A01,2017 Annual,72202
CXU900000LB0105M,2018,A01,2018 Annual,75685
CXU900000LB0105M,2019,A01,2019 Annual,78351
CXU900000LB0105M,2020,A01,2020 Annual,80976
