Series ID,Year,Period,Label,Value
CXU900000LB0104M,1984,A01,1984 Annual,13040
CXU900000LB0104M,1985,A01,1985 Annual,13900
CXU900000LB0104M,1986,A01,1986 Annual,14283
CXU900000LB0104M,1987,A01,1987 Annual,15005
CXU900000LB0104M,1988,A01,1988 Annual,16405
CXU900000LB0104M,1989,A01,1989 Annual,17252
CXU900000LB0104M,1990,A01,1990 Annual,17462
CXU900000LB0104M,1991,A01,1991 Annual,18843
CXU900000LB0104M,1992,A01,1992 Annual,17179
CXU900000LB0104M,1993,A01,1993 Annual,18034
CXU900000LB0104M,1994,A01,1994 Annual,19929
CXU900000LB0104M,1995,A01,1995 Annual,20474
CXU900000LB0104M,1996,A01,1996 Annual,20576
CXU900000LB0104M,1997,A01,1997 Annual,22080
CXU900000LB0104M,1998,A01,1998 Annual,22847
CXU900000LB0104M,1999,A01,1999 Annual,23507
CXU900000LB0104M,2000,A01,2000 Annual,24942
CXU900000LB0104M,2001,A01,2001 Annual,27346
CXU900000LB0104M,2002,A01,2002 Annual,28047
CXU900000LB0104M,2003,A01,2003 Annual,28886
CXU900000LB0104M,2004,A01,2004 Annual,31877
CXU900000LB0104M,2005,A01,2005 Annual,32930
CXU900000LB0104M,2006,A01,2006 Annual,34964
CXU900000LB0104M,2007,A01,2007 Annual,36083
CXU900000LB0104M,2008,A01,2008 Annual,36230
CXU900000LB0104M,2009,A01,2009 Annual,33964
CXU900000LB0104M,2010,A01,2010 Annual,33159
CXU900000LB0104M,2011,A01,2011 Annual,33625
CXU900000LB0104M,2012,A01,2012 Annual,34785
CXU900000LB0104M,2013,A01,2013 Annual,34003
CXU900000LB0104M,2014,A01,2014 Annual,34260
CXU900000LB0104M,2015,A01,2015 Annual,36592
CXU900000LB0104M,2016,A01,2016 Annual,37690
CXU900000LB0104M,2017,A01,2017 Annual,38585
CXU900000LB0104M,2018,A01,2018 Annual,40249
CXU900000LB0104M,2019,A01,2019 Annual,42341
CXU900000LB0104M,2020,A01,2020 Annual,43202
