Series ID,Year,Period,Label,Value
CXU900000LB0103M,1984,A01,1984 Annual,5005
CXU900000LB0103M,1985,A01,1985 Annual,5497
CXU900000LB0103M,1986,A01,1986 Annual,5308
CXU900000LB0103M,1987,A01,1987 Annual,6042
CXU900000LB0103M,1988,A01,1988 Annual,6853
CXU900000LB0103M,1989,A01,1989 Annual,7330
CXU900000LB0103M,1990,A01,1990 Annual,7356
CXU900000LB0103M,1991,A01,1991 Annual,7788
CXU900000LB0103M,1992,A01,1992 Annual,6974
CXU900000LB0103M,1993,A01,1993 Annual,7169
CXU900000LB0103M,1994,A01,1994 Annual,7778
CXU900000LB0103M,1995,A01,1995 Annual,8154
CXU900000LB0103M,1996,A01,1996 Annual,8084
CXU900000LB0103M,1997,A01,1997 Annual,8896
CXU900000LB0103M,1998,A01,1998 Annual,9158
CXU900000LB0103M,1999,A01,1999 Annual,9427
CXU900000LB0103M,2000,A01,2000 Annual,10161
CXU900000LB0103M,2001,A01,2001 Annual,11495
CXU900000LB0103M,2002,A01,2002 Annual,11986
CXU900000LB0103M,2003,A01,2003 Annual,12620
CXU900000LB0103M,2004,A01,2004 Annual,14647
CXU900000LB0103M,2005,A01,2005 Annual,15560
CXU900000LB0103M,2006,A01,2006 Annual,16579
CXU900000LB0103M,2007,A01,2007 Annual,17273
CXU900000LB0103M,2008,A01,2008 Annual,17115
CXU900000LB0103M,2009,A01,2009 Annual,16287
CXU900000LB0103M,2010,A01,2010 Annual,15419
CXU900000LB0103M,2011,A01,2011 Annual,15739
CXU900000LB0103M,2012,A01,2012 Annual,16025
CXU900000LB0103M,2013,A01,2013 Annual,14328
CXU900000LB0103M,2014,A01,2014 Annual,14442
CXU900000LB0103M,2015,A01,2015 Annual,15165
CXU900000LB0103M,2016,A01,2016 Annual,15208
CXU900000LB0103M,2017,A01,2017 Annual,16143
CXU900000LB0103M,2018,A01,2018 Annual,16603
CXU900000LB0103M,2019,A01,2019 Annual,17992
CXU900000LB0103M,2020,A01,2020 Annual,18766
