Series Name,Series Code,Country Name,Country Code,1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,United States,USA,3.916773334,3.607718116,3.162445425,2.013895838,2.472492496,3.527436277,3.920339985,3.743334455,3.381755679,2.278908371,2.369280276,2.135378738,2.096831274,1.831030847,1.724390998,1.125520396,1.443803525,2.235474406,2.193425345,1.581763006,1.857095202,2.692212126,3.114942348,3.026204641,2.686278909,1.945131703,0.762349988,1.165250544,2.088903778,1.917849007,1.754915785,1.849827471,0.952531533,1.04924737,1.880067872,2.400981114,1.785151537,1.211287987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
