Series ID,Year,Period,Label,Value
CXU900000LB0106M,1984,A01,1984 Annual,47135
CXU900000LB0106M,1985,A01,1985 Annual,50031
CXU900000LB0106M,1986,A01,1986 Annual,50222
CXU900000LB0106M,1987,A01,1987 Annual,53152
CXU900000LB0106M,1988,A01,1988 Annual,54985
CXU900000LB0106M,1989,A01,1989 Annual,58385
CXU900000LB0106M,1990,A01,1990 Annual,61894
CXU900000LB0106M,1991,A01,1991 Annual,65232
CXU900000LB0106M,1992,A01,1992 Annual,66598
CXU900000LB0106M,1993,A01,1993 Annual,70703
CXU900000LB0106M,1994,A01,1994 Annual,73794
CXU900000LB0106M,1995,A01,1995 Annual,74466
CXU900000LB0106M,1996,A01,1996 Annual,78324
CXU900000LB0106M,1997,A01,1997 Annual,83519
CXU900000LB0106M,1998,A01,1998 Annual,87417
CXU900000LB0106M,1999,A01,1999 Annual,92062
CXU900000LB0106M,2000,A01,2000 Annual,94351
CXU900000LB0106M,2001,A01,2001 Annual,101043
CXU900000LB0106M,2002,A01,2002 Annual,105653
CXU900000LB0106M,2003,A01,2003 Annual,109349
CXU900000LB0106M,2004,A01,2004 Annual,110857
CXU900000LB0106M,2005,A01,2005 Annual,122045
CXU900000LB0106M,2006,A01,2006 Annual,124503
CXU900000LB0106M,2007,A01,2007 Annual,132535
CXU900000LB0106M,2008,A01,2008 Annual,134882
CXU900000LB0106M,2009,A01,2009 Annual,135583
CXU900000LB0106M,2010,A01,2010 Annual,135474
CXU900000LB0106M,2011,A01,2011 Annual,135103
CXU900000LB0106M,2012,A01,2012 Annual,141565
CXU900000LB0106M,2013,A01,2013 Annual,137638
CXU900000LB0106M,2014,A01,2014 Annual,144444
CXU900000LB0106M,2015,A01,2015 Annual,149105
CXU900000LB0106M,2016,A01,2016 Annual,159681
CXU900000LB0106M,2017,A01,2017 Annual,157727
CXU900000LB0106M,2018,A01,2018 Annual,171558
CXU900000LB0106M,2019,A01,2019 Annual,180897
CXU900000LB0106M,2020,A01,2020 Annual,181041
