Series Name,Series Code,Country Name,Country Code,1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,4.583927306,7.236620002,4.169655957,3.462651704,3.459572561,4.177046379,3.67265633,1.885960325,-0.108259111,3.522442502,2.752844325,4.028839066,2.684287126,3.772501321,4.44721634,4.481407561,4.753235983,4.127484017,0.998340792,1.741695251,2.861210768,3.798891125,3.513213799,2.854972294,1.876171454,-0.136579803,-2.536757067,2.56376656,1.550835505,2.249545852,1.842081071,2.525973446,3.07551465,1.711426774,2.332679395,2.996464352,2.161176515,-3.486139557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
