Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0103M,1984,A01,1984 Annual,14337
CXUTOTALEXPLB0103M,1985,A01,1985 Annual,15092
CXUTOTALEXPLB0103M,1986,A01,1986 Annual,14639
CXUTOTALEXPLB0103M,1987,A01,1987 Annual,15686
CXUTOTALEXPLB0103M,1988,A01,1988 Annual,16880
CXUTOTALEXPLB0103M,1989,A01,1989 Annual,17616
CXUTOTALEXPLB0103M,1990,A01,1990 Annual,17927
CXUTOTALEXPLB0103M,1991,A01,1991 Annual,18986
CXUTOTALEXPLB0103M,1992,A01,1992 Annual,19257
CXUTOTALEXPLB0103M,1993,A01,1993 Annual,19712
CXUTOTALEXPLB0103M,1994,A01,1994 Annual,20891
CXUTOTALEXPLB0103M,1995,A01,1995 Annual,22126
CXUTOTALEXPLB0103M,1996,A01,1996 Annual,22799
CXUTOTALEXPLB0103M,1997,A01,1997 Annual,23558
CXUTOTALEXPLB0103M,1998,A01,1998 Annual,23709
CXUTOTALEXPLB0103M,1999,A01,1999 Annual,24840
CXUTOTALEXPLB0103M,2000,A01,2000 Annual,26550
CXUTOTALEXPLB0103M,2001,A01,2001 Annual,26492
CXUTOTALEXPLB0103M,2002,A01,2002 Annual,27140
CXUTOTALEXPLB0103M,2003,A01,2003 Annual,26729
CXUTOTALEXPLB0103M,2004,A01,2004 Annual,27410
CXUTOTALEXPLB0103M,2005,A01,2005 Annual,28921
CXUTOTALEXPLB0103M,2006,A01,2006 Annual,30224
CXUTOTALEXPLB0103M,2007,A01,2007 Annual,31150
CXUTOTALEXPLB0103M,2008,A01,2008 Annual,31751
CXUTOTALEXPLB0103M,2009,A01,2009 Annual,31382
CXUTOTALEXPLB0103M,2010,A01,2010 Annual,30285
CXUTOTALEXPLB0103M,2011,A01,2011 Annual,32092
CXUTOTALEXPLB0103M,2012,A01,2012 Annual,32632
CXUTOTALEXPLB0103M,2013,A01,2013 Annual,32559
CXUTOTALEXPLB0103M,2014,A01,2014 Annual,33546
CXUTOTALEXPLB0103M,2015,A01,2015 Annual,35063
CXUTOTALEXPLB0103M,2016,A01,2016 Annual,36770
CXUTOTALEXPLB0103M,2017,A01,2017 Annual,39300
CXUTOTALEXPLB0103M,2018,A01,2018 Annual,39968
CXUTOTALEXPLB0103M,2019,A01,2019 Annual,40472
CXUTOTALEXPLB0103M,2020,A01,2020 Annual,39890
