Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0104M,1984,A01,1984 Annual,19469
CXUTOTALEXPLB0104M,1985,A01,1985 Annual,20374
CXUTOTALEXPLB0104M,1986,A01,1986 Annual,21088
CXUTOTALEXPLB0104M,1987,A01,1987 Annual,21708
CXUTOTALEXPLB0104M,1988,A01,1988 Annual,23290
CXUTOTALEXPLB0104M,1989,A01,1989 Annual,24476
CXUTOTALEXPLB0104M,1990,A01,1990 Annual,24687
CXUTOTALEXPLB0104M,1991,A01,1991 Annual,26144
CXUTOTALEXPLB0104M,1992,A01,1992 Annual,26573
CXUTOTALEXPLB0104M,1993,A01,1993 Annual,26603
CXUTOTALEXPLB0104M,1994,A01,1994 Annual,28513
CXUTOTALEXPLB0104M,1995,A01,1995 Annual,29125
CXUTOTALEXPLB0104M,1996,A01,1996 Annual,30402
CXUTOTALEXPLB0104M,1997,A01,1997 Annual,31447
CXUTOTALEXPLB0104M,1998,A01,1998 Annual,31400
CXUTOTALEXPLB0104M,1999,A01,1999 Annual,33029
CXUTOTALEXPLB0104M,2000,A01,2000 Annual,34716
CXUTOTALEXPLB0104M,2001,A01,2001 Annual,35660
CXUTOTALEXPLB0104M,2002,A01,2002 Annual,36881
CXUTOTALEXPLB0104M,2003,A01,2003 Annual,36213
CXUTOTALEXPLB0104M,2004,A01,2004 Annual,36980
CXUTOTALEXPLB0104M,2005,A01,2005 Annual,39098
CXUTOTALEXPLB0104M,2006,A01,2006 Annual,41431
CXUTOTALEXPLB0104M,2007,A01,2007 Annual,42447
CXUTOTALEXPLB0104M,2008,A01,2008 Annual,42659
CXUTOTALEXPLB0104M,2009,A01,2009 Annual,41150
CXUTOTALEXPLB0104M,2010,A01,2010 Annual,41212
CXUTOTALEXPLB0104M,2011,A01,2011 Annual,42403
CXUTOTALEXPLB0104M,2012,A01,2012 Annual,43004
CXUTOTALEXPLB0104M,2013,A01,2013 Annual,42495
CXUTOTALEXPLB0104M,2014,A01,2014 Annual,45395
CXUTOTALEXPLB0104M,2015,A01,2015 Annual,45912
CXUTOTALEXPLB0104M,2016,A01,2016 Annual,47664
CXUTOTALEXPLB0104M,2017,A01,2017 Annual,50470
CXUTOTALEXPLB0104M,2018,A01,2018 Annual,51729
CXUTOTALEXPLB0104M,2019,A01,2019 Annual,53045
CXUTOTALEXPLB0104M,2020,A01,2020 Annual,51543
